Mod Loading Profiling Results:
   Constructing
      mezz.jei.gui.textures.JeiTextureMap: 35ms
      crazypants.enderio.conduits.conduit.item.ItemConduit: 34ms
      net.minecraft.world.World: 29ms
      crafttweaker.mc1120.entity.MCEntityLivingBase: 27ms
      net.minecraft.block.Block: 24ms
      hellfirepvp.astralsorcery.common.tile.network.TileCollectorCrystal: 23ms
      com.codetaylor.mc.pyrotech.modules.bucket.item.ItemBucketBase$BucketWrapper: 23ms
      net.minecraft.entity.Entity: 23ms
      kotlin.collections.ArraysKt___ArraysKt: 22ms
      net.ndrei.teslacorelib.tileentities.ElectricTileEntity: 21ms
      net.minecraft.item.ItemStack: 21ms
      net.minecraft.entity.player.EntityPlayer: 21ms
      org.joml.Matrix4f: 21ms
   Total: 8773ms
